map_index,site,,site_name,most_recent_measurement,date,well_depth
88,344607118195901,,008N014W23G001S,244.45 BLS,3/11/2014,420,
89,344613118300801,,008N015W19H001S,152.10 BLS,3/3/2015,187.5,
90,344614118454101,,008N018W23F001S,28.03 BLS,3/3/2015,224.,
91,344620118140901,,008N013W23E001S,170.64 BLS,3/2/2015,529,
92,344623118164901,,008N013W20B001S,217.61 BLS,7/28/2015,618,
93,344627117544201,,008N010W23F003S,148.72 BLS,3/5/2015,,
94,344633118353201,,008N016W17R002S,86.45 BLS,3/3/2015,,
95,344635118244301,,008N014W18N001S,118.10 BLS,7/28/2015,865,
96,344636118320801,,008N016W13N001S,95.54 BLS,7/30/2015,425,
97,344641118015301,,008N011W15Q001S,86.08 BLS,3/5/2015,177.8,
98,344643117581703,,008N010W18P003S,102.00 BLS,3/5/2015,113.20,
99,344643118002001,,008N011W14R001S,95.07 BLS,3/5/2015,164.9,
100,344647118175401,,008N013W18Q002S,226.52 BLS,7/28/2015,533,
101,344652118185701,,008N014W24C001S,233.04 BLS,3/3/2015,618,
102,344657118151301,,008N013W15M001S,191.98 BLS,3/3/2015,551,
103,344658118234201,,008N014W17M001S,174.90 BLS,7/28/2015,670,
104,344701118363401,,008N016W18H002S,179.53 BLS,3/3/2015,400,
105,344714118342601,,008N016W16A001S,295.60 BLS,3/4/2015,302,
106,344722118303601,,008N015W07P001S,181.89 BLS,3/5/2015,750,
107,344725118132701,,008N013W14B002S,122.70 BLS,3/3/2015,159.2,
108,344727118273101,,008N015W10P002S,155.31 BLS,3/3/2015,621,
109,344733118133901,,008N013W11Q001S,179.04 BLS,3/3/2015,575,
110,344747118075001,,008N012W10J001S,38.44 BLS,7/29/2015,90.6,
111,344751118210701,,008N014W10L001S,237.98 BLS,3/5/2015,,
112,344758118154401,,008N013W09K001S,202.44 BLS,3/2/2015,,
113,344759118343301,,008N016W09G001S,254.69 BLS,3/4/2015,,
114,344810118315701,,008N016W12D001S,179.05 BLS,3/3/2015,,
115,344812118284701,,008N015W09D001S,49.80 BLS,3/3/2015,416.5,
116,344814118322401,,008N016W02R001S,181.66 BLS,3/3/2015,347,
117,344819118175201,,008N013W07B001S,242.40 BLS,7/29/2015,,
118,344825118071801,,008N012W02Q001S,53.57 BLS,3/6/2015,72.7,
119,344828118372601,,008N016W06M001S,254.13 BLS,3/3/2015,546.,
120,344841118335001,,008N016W03F001S,212.86 BLS,3/4/2015,325,
121,344844118254501,,008N015W01E001S,261.11 BLS,3/3/2015,474,
122,344848118172301,,008N013W05E001S,229.46 BLS,3/2/2015,552,
123,344858118414101,,008N017W04D001S,138.66 BLS,3/3/2015,,
124,344907118260901,,008N015W02A001S,256.39 BLS,3/3/2015,,
125,344911117524001,,008N009W06D001S,51.68 BLS,3/5/2015,135.6,
126,344911118191101,,008N014W01C001S,267.96 BLS,3/5/2015,515.70,
127,344913118110001,,008N012W05D001S,121.89 BLS,3/5/2015,465.3,
